Linea      Token      Lexema              
2          -55        123                 
2          -55        0                   
2          -55        32767               
2          -56        12.5                
2          -56        0.001               
2          -56        100.00              
3          -26        =                   
3          -21        +                   
3          -22        -                   
3          -23        *                   
3          -24        /                   
3          -25        %                   
3          -42        ;                   
4          -38        ==                  
4          -42        ;                   
4          -35        !=                  
4          -42        ;                   
4          -33        <                   
4          -42        ;                   
4          -34        <=                  
4          -42        ;                   
4          -36        >                   
4          -42        ;                   
4          -37        >=                  
4          -42        ;                   
4          -40        &&                  
4          -42        ;                   
4          -41        ||                  
4          -42        ;                   
5          -52        $nombre             
5          -54        %abc                
5          -53        &flag               
6          -57        "Hola Mundo"        
8          -26        =                   
8          -55        10                  
8          -42        ;                   
9          -47        (                   
9          -45        ,                   
9          -48        )                   
9          -42        ;                   
9          -49        {                   
9          -46        :                   
9          -42        ;                   
9          -50        }                   
